Metric,Portfolio,Benchmark,EqualWeight
CAGR,0.2805817397535064,0.14416120070272864,0.2655266266348515
Volatility,0.1072211211273273,0.12130908406911757,0.12573270605255485
Sharpe,1.988129551482887,0.841483481777623,1.6185904846528265
Sortino,3.0595137987405754,1.0837445984036977,2.0930197601145863
Max Drawdown,-0.0911427370118172,-0.1093280759386883,-0.12686760854519022
