Ticker,Company,Sector,Momentum,Volatility,Value_PE,Dividend_Yield,EPS_Growth,Momentum_Rank,Volatility_Rank,Value_Rank,Quality_Rank,Composite,Rank,Selected
JSWSTEEL.NS,JSW Steel Limited,Non-energy minerals,0.16937179100340938,0.24040533825854984,12.826837691169215,0.005546875,1.5,0.7931034482758621,0.48275862068965514,0.7379310344827587,1.0,0.753448275862069,1,True
NTPC.NS,NTPC Limited,Utilities,0.032339607647106305,0.21285650198573022,12.004401439200754,0.025460299194476402,0.15859383853264467,0.5517241379310345,0.7241379310344828,0.8551724137931035,0.6551724137931034,0.6965517241379311,2,True
SBIN.NS,State Bank of India,Finance,0.31179429575794293,0.22111023309931896,11.45454106036072,0.016742256103445,0.04743220354585112,0.9310344827586207,0.6896551724137931,0.8482758620689657,0.3103448275862069,0.6948275862068966,3,True
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Health technology,0.17480479793076809,0.19987386021384956,38.95882345940071,0.0082051282051282,0.16617162632319193,0.8275862068965517,0.8620689655172413,0.22758620689655176,0.7586206896551724,0.6689655172413793,4,True
ONGC.NS,Oil & Natural Gas Corp. Ltd.,Energy minerals,0.07217040640916439,0.24351949082717525,7.349457597881413,0.05605148432634419,0.1457780932695854,0.6206896551724138,0.4482758620689655,0.9724137931034484,0.5862068965517241,0.6568965517241381,5,True
TITAN.NS,Titan Company Limited,Consumer durables,0.4236488671607881,0.22397413771725333,86.33765633938833,0.00306122448979592,0.5199475616987671,0.9655172413793104,0.6206896551724138,0.07586206896551721,0.9655172413793104,0.656896551724138,6,True
ICICIBANK.NS,ICICI Bank Limited,Finance,0.006723450264337627,0.18606383325328144,18.80299896587384,0.00761667359091538,0.07369882026370579,0.5172413793103449,0.9310344827586207,0.5793103448275863,0.41379310344827586,0.6103448275862069,7,True
LICI.NS,Life Insurance Corp. of India,Finance,-0.040615291364917816,0.24843534916786622,8.615621731711345,0.023565453045834798,0.1890051547336372,0.3448275862068966,0.3448275862068966,0.903448275862069,0.7931034482758621,0.596551724137931,8,True
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer non-durables,-0.18921871101911159,0.20664748634005592,32.94115059125948,0.0193396226415094,0.3852412274019353,0.1724137931034483,0.8275862068965517,0.42068965517241386,0.896551724137931,0.5793103448275863,9,True
HDFCBANK.NS,HDFC Bank Limited,Finance,-0.23389098679846754,0.19690259450693323,14.497850722938647,0.0173091005925038,0.1134558903513542,0.06896551724137931,0.896551724137931,0.7448275862068966,0.4827586206896552,0.5482758620689655,10,True
AXISBANK.NS,Axis Bank Limited,Finance,0.11123364766944754,0.2338221841348841,14.188687731923984,0.000798722044728434,-0.006146624944121559,0.7241379310344828,0.5172413793103448,0.6689655172413793,0.1724137931034483,0.5206896551724137,11,True
ULTRACEMCO.NS,UltraTech Cement Limited,Non-energy minerals,-0.03642453780158694,0.22631404096180918,41.53453743278643,0.0200836820083682,0.21229696679220592,0.3793103448275862,0.5862068965517242,0.26206896551724146,0.8275862068965517,0.5137931034482759,12,True
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Finance,-0.002743000520483485,0.22387409578149584,19.50378069517747,0.00165310274669379,0.05931913038061429,0.4827586206896552,0.6551724137931034,0.5103448275862069,0.3448275862068966,0.4982758620689655,13,False
ADANIPOWER.NS,Adani Power Limited,Utilities,0.5693469048046185,0.4372264717235872,28.402711075636844,0.0,0.1485953135682764,1.0,0.0,0.3689655172413794,0.6206896551724138,0.49741379310344824,14,False
ADANIPORTS.NS,Adani Ports & Special Economic Zone Ltd,Transportation,0.21895536756074674,0.3030373811827081,29.1268100792723,0.0044195639363582805,0.12071570652589707,0.8620689655172413,0.13793103448275867,0.3862068965517242,0.5172413793103449,0.4758620689655173,15,False
M&M.NS,Mahindra & Mahindra Ltd.,Consumer durables,-0.04565465716124706,0.28460575308969904,20.89852072806964,0.009747452370403191,0.34449173350793916,0.3103448275862069,0.1724137931034483,0.5517241379310345,0.8620689655172413,0.47413793103448276,16,False
BAJFINANCE.NS,Bajaj Finance Limited,Finance,0.09244576454343445,0.28268397707045534,35.27786306416948,0.00525900604785695,0.1605202209157313,0.6896551724137931,0.2068965517241379,0.23448275862068968,0.7241379310344828,0.46379310344827585,17,False
LT.NS,Larsen & Toubro Limited,Industrial services,0.1527504696809021,0.24585171610237275,33.09829946080465,0.0095,0.04526142374057053,0.7586206896551724,0.3793103448275862,0.3448275862068965,0.27586206896551724,0.43965517241379304,18,False
ITC.NS,ITC Limited,Consumer non-durables,-0.3078739808465405,0.1853805087235018,18.24575580991584,0.05064617534055191,-0.43179437508968294,0.034482758620689655,0.9655172413793104,0.7172413793103449,0.034482758620689655,0.43793103448275866,19,False
ADANIENT.NS,Adani Enterprises Limited,Distribution services,0.2577946265658613,0.3862567123531379,48.90320532451686,0.000424143556280587,0.16005185703231953,0.896551724137931,0.03448275862068961,0.07586206896551727,0.6896551724137931,0.4241379310344828,20,False
INFY.NS,Infosys Limited,Technology services,-0.22496398114594862,0.2797369913940822,15.770548315286693,0.041025641025641005,0.1270552700168076,0.13793103448275862,0.24137931034482762,0.7586206896551725,0.5517241379310345,0.4224137931034483,21,False
BHARTIARTL.NS,Bharti Airtel Limited,Communications,0.048083785862383044,0.20730275741256235,44.95112668729294,0.012301383905689401,-0.20523849590901183,0.5862068965517241,0.7931034482758621,0.20689655172413796,0.06896551724137931,0.41379310344827586,22,False
RELIANCE.NS,Reliance Industries Limited,Energy minerals,-0.05226911136691026,0.20741656548789852,23.377357157991383,0.00458365164247517,-0.08318252305321916,0.27586206896551724,0.7586206896551724,0.4482758620689655,0.10344827586206896,0.396551724137931,23,False
HAL.NS,Hindustan Aeronautics Limited,Electronic technology,0.07707528515513373,0.3124125362705772,34.00581950723477,0.0107293834896247,0.08982268618909625,0.6551724137931034,0.10344827586206895,0.31034482758620696,0.4482758620689655,0.37931034482758624,24,False
