Risk,Return,Type
0.15411869993828045,0.1298752323689181,Simulated
0.12628827183230712,0.12999346364988426,Simulated
0.1326619090448797,0.12975928109705184,Simulated
0.12681445718905127,0.13064494642434007,Simulated
0.12647820045439448,0.13133633746135942,Simulated
0.13785731080082653,0.129737124893512,Simulated
0.13461157582122718,0.12725082329559637,Simulated
0.13612871830835394,0.13119372587218645,Simulated
0.12860639654730374,0.12999005250702603,Simulated
0.11720327821434268,0.1306382954622132,Simulated
0.1315353622274743,0.13077932324263394,Simulated
0.12466323980538524,0.1322164721069153,Simulated
0.13541569740208304,0.1340993622319005,Simulated
0.1365000212733246,0.12992793068738925,Simulated
0.1590522512922052,0.13074543889444865,Simulated
0.1270225422466255,0.12926444239829157,Simulated
0.12948775126037823,0.13152885764264896,Simulated
0.1230844076462917,0.13057428475929697,Simulated
0.14395613429608115,0.12870593588842352,Simulated
0.1202394934063086,0.12986836626684253,Simulated
0.12412718075301675,0.13124290194980065,Simulated
0.13083249683176806,0.13122137800785266,Simulated
0.12605431947252443,0.13149913928433712,Simulated
0.13107377235655165,0.12948779045387826,Simulated
0.13320877290240196,0.1328576423937442,Simulated
0.1186749824030068,0.13168475606519137,Simulated
0.1195853380723151,0.13121726488062005,Simulated
0.12571871146124,0.12973128889589344,Simulated
0.12320469177500114,0.13367000587265868,Simulated
0.13936452604352717,0.130515279187982,Simulated
0.12507283399232827,0.13127330087597053,Simulated
0.11623445156103802,0.13045728311331284,Simulated
0.12166371768858394,0.1318190663909059,Simulated
0.12402566287741698,0.1292741145740762,Simulated
0.12080874005784713,0.13058798566713703,Simulated
0.12983709462492124,0.13068949026918728,Simulated
0.14179092443080155,0.12869093180515592,Simulated
0.12936498896102092,0.13119848681526025,Simulated
0.1349420762478966,0.12940051137484856,Simulated
0.1271852398114754,0.13056278917085964,Simulated
0.11504621864001104,0.1296210855639979,Simulated
0.13737214214722165,0.13113119393568945,Simulated
0.1302974402808607,0.1308892014618129,Simulated
0.11768802323441548,0.1290506168283573,Simulated
0.1182716004505399,0.12996430268967452,Simulated
0.11923822818516078,0.12962573454432802,Simulated
0.12525985205140375,0.1282230798226505,Simulated
0.11795888696462355,0.13100894333170515,Simulated
0.1271045704846049,0.13163837528938455,Simulated
0.12767554782880067,0.13424689773107917,Simulated
0.12922571113341005,0.13312628487560715,Simulated
0.1259047369394042,0.13073504483126283,Simulated
0.15966555759217127,0.12832085245345726,Simulated
0.13133229824600196,0.13053107394541277,Simulated
0.11677235318278278,0.13028867628776017,Simulated
0.13163696775718411,0.13123579825049259,Simulated
0.12131512849311243,0.1304994547992329,Simulated
0.13115535403791848,0.12793538704759666,Simulated
0.11581544696437225,0.13077345944776178,Simulated
0.1330682722705784,0.13214374918174407,Simulated
0.12896361221214006,0.130714486776608,Simulated
0.11954412449895903,0.1307779539616762,Simulated
0.12885679336961658,0.13213384432373923,Simulated
0.12277623090465915,0.13143315804724226,Simulated
0.12657016701750148,0.1324198478446908,Simulated
0.12141102782320251,0.13132433362937687,Simulated
0.13054853005542294,0.12985320272313172,Simulated
0.14893858564359583,0.13013740402135843,Simulated
0.11736379926176155,0.13192401735969736,Simulated
0.11782751876565102,0.13037200887806852,Simulated
0.12454831983588803,0.13113554362751434,Simulated
0.12220640722737035,0.1310272303862002,Simulated
0.1260040314420979,0.13113923406208935,Simulated
0.13845838025146232,0.12918881665537757,Simulated
0.13599232436760236,0.13222653516482077,Simulated
0.11910984045164263,0.13054093731652894,Simulated
0.12137944536606457,0.1283396231729465,Simulated
0.12777359926030984,0.13261128395950184,Simulated
0.13998790873495864,0.1297579455327627,Simulated
0.1403555680544834,0.1295697509248646,Simulated
0.1371754862209351,0.13043481439870167,Simulated
0.11623940182943093,0.13099795096377334,Simulated
0.13903887231702097,0.13009491915768642,Simulated
0.12750739674825204,0.1305008791845627,Simulated
0.1262267594515495,0.13065875277697908,Simulated
0.12460172228408162,0.12875236522478747,Simulated
0.12445072185790163,0.12905795866847344,Simulated
0.12645973862610924,0.13025553419851682,Simulated
0.12138252133642745,0.13099202047712616,Simulated
0.14989638964846172,0.1299136865050866,Simulated
0.1283092841426053,0.13143203088616184,Simulated
0.11528846805566906,0.1306389222866936,Simulated
0.13336688397380173,0.13071300193752458,Simulated
0.1224709896523587,0.1307562168018755,Simulated
0.12341407536731515,0.13168029041706475,Simulated
0.134354545304821,0.12831669713067262,Simulated
0.12275121739604933,0.13191074638438716,Simulated
0.12481327323113493,0.13330370843856368,Simulated
0.12615930216500632,0.12886791174674553,Simulated
0.1319607580437365,0.1308324427537208,Simulated
0.12460724365506573,0.13241445689035208,Simulated
0.1433069587121105,0.1317501807412075,Simulated
0.12765426182078862,0.130397692626311,Simulated
0.13017026906470142,0.12986759831200068,Simulated
0.13006757950704667,0.13133395778667556,Simulated
0.128796738510601,0.13064912111750843,Simulated
0.12904126316875877,0.13020382764003405,Simulated
0.12670376858184837,0.13078203555967838,Simulated
0.14142096345183758,0.12888912290894675,Simulated
0.13652144694380494,0.13210339375947816,Simulated
0.12242739199208348,0.12968573746505768,Simulated
0.12748953384027759,0.13180694617541935,Simulated
0.12543380624506134,0.1301270387266277,Simulated
0.12920103176353934,0.13117390663233255,Simulated
0.1312958550516548,0.12990981797643056,Simulated
0.1189563609942025,0.13019440508655364,Simulated
0.13401231318696438,0.12962675499613802,Simulated
0.12264040753154636,0.130849751593835,Simulated
0.1306732299392676,0.13009506297329732,Simulated
0.1247068188081621,0.1292267147869217,Simulated
0.11953387640572168,0.12890177426808616,Simulated
0.13148829785226776,0.12867052488827785,Simulated
0.12141458765272387,0.13104217442301586,Simulated
0.14053207179926402,0.13243855009362568,Simulated
0.13193948666959882,0.13043300122190563,Simulated
0.13276727700050758,0.13581002968996028,Simulated
0.11776632987418224,0.12957336827010463,Simulated
0.13106874828352036,0.128598224894499,Simulated
0.12407771843873781,0.13054338288838402,Simulated
0.12515540219313767,0.13106775324591563,Simulated
0.12171302628231194,0.13072003978591826,Simulated
0.13182793868817574,0.13169674176667123,Simulated
0.13132328191812487,0.12774216177115594,Simulated
0.12385090250828393,0.12825757145118805,Simulated
0.12789910576920388,0.1303166251348935,Simulated
0.15656576587893542,0.13196188044780838,Simulated
0.11941002984402319,0.13130757626886075,Simulated
0.1397268738679369,0.12943468222040694,Simulated
0.13453964384190156,0.13378784848295763,Simulated
0.117964360372264,0.12890387383267493,Simulated
0.1494990294742988,0.12832690736156038,Simulated
0.12502578674660275,0.12984879641566124,Simulated
0.12241294757523265,0.13042533940275103,Simulated
0.1314391444687838,0.13065848273339364,Simulated
0.1178972569427117,0.12949751154562592,Simulated
0.12725894683843914,0.13149089631066432,Simulated
0.1433784559570552,0.13224374501677055,Simulated
0.13912515562048072,0.13070506816899813,Simulated
0.14800925577172058,0.1288233129016831,Simulated
0.13114427844262233,0.13072025946586152,Simulated
0.11481623426827543,0.13081579532320697,Simulated
0.12027188355370377,0.13021659081654618,Simulated
0.12423950232183721,0.13103568119119177,Simulated
0.13364770344064142,0.13102348336393535,Simulated
0.11964069336140867,0.13199096588541995,Simulated
0.12524832461496796,0.13176810227518182,Simulated
0.13475031755570313,0.13101600649347614,Simulated
0.13545671814705088,0.12982060595543574,Simulated
0.12583710849500487,0.13261408347861908,Simulated
0.1342215120313826,0.12823728225537614,Simulated
0.11700589887366741,0.13155200611150777,Simulated
0.13473275107503183,0.12991411655115534,Simulated
0.12456274441666118,0.12864500176625868,Simulated
0.12672003240609292,0.13128979230333096,Simulated
0.1312371012607908,0.13189099050351558,Simulated
0.13469589596351317,0.12869567861128944,Simulated
0.13484996564157406,0.1317178201494243,Simulated
0.13080637461065717,0.12948626623687048,Simulated
0.14123548876297612,0.13020735885080367,Simulated
