Date,Portfolio,Return,Sharpe,Drawdown,EqualWeight_Cum,Benchmark_Cum,EqualWeight_Return,Benchmark_Return
2024-09-17,10035.476251592021,0.0035476251592020513,-0.48406562379063406,0.0,9994.39599677855,10013.70986605604,-0.0005604003221448367,0.0013709866056039743
2024-09-18,10022.951001887506,-0.0012480971894611472,-0.48406562379063406,-0.0012480971894611233,9973.346073526818,9997.557800265919,-0.0021061726249908064,-0.0016129951842196455
2024-09-19,10063.95580567575,0.004091090915292703,-0.48406562379063406,0.0,9960.636696729713,10012.62649578963,-0.0012743342809332576,0.0015072376499098983
2024-09-20,10192.899265330154,0.012812403208456257,-0.48406562379063406,0.0,10127.326269036723,10160.417282217955,0.016734831053695352,0.014760441377741573
2024-09-23,10297.65142257825,0.010276973657965939,-0.48406562379063406,0.0,10226.244756466333,10218.762311025755,0.0097674830258055,0.005742385099666292
2024-09-24,10267.271319226256,-0.00295019729308217,-0.48406562379063406,-0.0029501972930822164,10211.124031563753,10219.293993450536,-0.0014786194994028628,5.2030021699067674e-05
2024-09-25,10273.512802746858,0.0006079009043927219,-0.48406562379063406,-0.0023440898162922514,10218.003452900295,10244.408485990052,0.0006737183208504072,0.0024575565157058943
2024-09-26,10325.109865305114,0.00502233885808375,-0.48406562379063406,0.0,10304.5130227488,10327.887243315112,0.008466386828627421,0.008148714241454025
2024-09-27,10344.614388446633,0.001889037830683153,-0.48406562379063406,0.0,10298.53944553192,10313.270977987884,-0.0005797049509949388,-0.0014152231703233875
2024-09-30,10268.653411612164,-0.007343045761020167,-0.48406562379063406,-0.007343045761020087,10193.98504217359,10168.257097306348,-0.010152352565265085,-0.014060900852023384
2024-10-01,10204.11956110519,-0.006284548510907647,-0.48406562379063406,-0.013581446544624762,10198.500793144927,10162.761763185108,0.0004429819106712506,-0.0005404401234794243
2024-10-03,10088.287089330432,-0.011351540040384503,-0.48406562379063406,-0.024778816250751703,9995.748006848871,9947.348051164623,-0.019880646225211702,-0.021196375260987388
2024-10-04,10037.925698998586,-0.00499206553956106,-0.48406562379063406,-0.02964718431559631,9931.822944091808,9854.57216107746,-0.006395225521218091,-0.009326695880144675
2024-10-07,9878.38442099578,-0.01589384926596158,-0.48406562379063406,-0.04506982570288567,9802.789720648141,9768.355739400205,-0.01299189727505397,-0.008748875168602677
2024-10-08,9919.555736271315,0.004167818695942619,-0.48406562379063406,-0.04108984986913042,9917.185894342578,9854.001237258086,0.011669756972699138,0.00876764730346924
2024-10-09,9892.203297680682,-0.002757425767629742,-0.48406562379063406,-0.043733973425942915,9915.4237143883,9841.709447481162,-0.00017768951525695754,-0.0012473907279866303
2024-10-10,9864.16948687729,-0.002833929910231918,-0.48406562379063406,-0.046443964320789725,9947.02319365043,9848.209669079624,0.0031869015558333358,0.0006604768849507447
2024-10-11,9888.041168835704,0.002420039719529524,-0.48406562379063406,-0.044136320839648954,9931.282995982336,9834.736790269362,-0.0015824028316473449,-0.0013680536120755926
2024-10-14,9912.948022060486,0.002518886481104017,-0.48406562379063406,-0.04172860874043353,9957.104987810008,9899.226559806959,0.0026000660577408527,0.006557345754428789
2024-10-15,9916.454222741402,0.0003536990886176234,-0.48406562379063406,-0.041389669022696626,9940.865002796205,9871.41364430984,-0.0016309946549408411,-0.0028096049048969007
2024-10-16,9901.63400842072,-0.0014945074103901732,-0.48406562379063406,-0.0428223192660188,9892.543140331396,9837.514465455257,-0.0048609313627350145,-0.0034340754096676696
2024-10-17,9790.802724545943,-0.01119323172120091,-0.48406562379063406,-0.053536230844835865,9779.971982537654,9750.273150883926,-0.011379395186541663,-0.008868227322834543
2024-10-18,9872.38436100104,0.008332476789729206,-0.48406562379063406,-0.0456498434560308,9801.438968965409,9791.323496823752,0.0021949946754536835,0.004210173941240125
2024-10-21,9815.877314025754,-0.005723748682081865,-0.48406562379063406,-0.05111230390679403,9729.031835577383,9762.584176638595,-0.007387398280731122,-0.00293518237799828
2024-10-22,9717.900543562702,-0.009981458338222577,-0.48406562379063406,-0.06058358691300044,9572.376872404238,9640.852753976458,-0.016101803943151253,-0.012469180337869368
2024-10-23,9626.580179540502,-0.009397128897629262,-0.48406562379063406,-0.06941140403532743,9551.540261493024,9626.434234500415,-0.0021767436853936716,-0.001495564743491773
2024-10-24,9581.845643801915,-0.004646981057059322,-0.48406562379063406,-0.0737358316126907,9544.631235173933,9612.212691436447,-0.0007233415899365537,-0.0014773427748562273
2024-10-25,9518.46867798294,-0.006614275388580256,-0.48406562379063406,-0.07986239790497868,9444.63257239017,9526.094757965231,-0.010476954040429354,-0.008959220549493163
2024-10-28,9641.438430935665,0.012919068929350287,-0.48406562379063406,-0.06797507679902594,9527.142435470058,9588.477033781453,0.008736164424341024,0.0065485676346082045
2024-10-29,9723.626399858329,0.008524450942812983,-2.5050484268861037,-0.060030076063720135,9579.37817657012,9638.784501649674,0.0054828340663394416,0.0052466588480091225
2024-10-30,9654.283439742101,-0.007131388770473321,-3.2547531917494554,-0.06673336702386198,9551.975528147368,9589.14644580686,-0.0028605873907115616,-0.005149825253829232
2024-10-31,9626.456293763871,-0.0028823626478250612,-3.368630389304079,-0.06942337990721387,9497.886561839856,9535.765838134628,-0.005662594732170817,-0.005566773640794054
2024-11-01,9687.911654731293,0.006384006647101445,-3.1757030282621845,-0.06348257257890427,9563.751085565837,9574.76716772541,0.006934650492732614,0.004090004961616156
2024-11-04,9540.491195379385,-0.015216949184286946,-5.200117202083645,-0.07773351068217028,9439.662830918203,9453.035745063275,-0.012974851973606243,-0.0127137736646451
2024-11-05,9624.124736213957,0.008766167183832007,-5.36744450459449,-0.06964876844876443,9518.054220660966,9538.89822475008,0.008304469253499511,0.00908305881860727
2024-11-06,9664.563358110812,0.0042017973587449645,-4.792837473380631,-0.06573962110132736,9669.346076041715,9645.560951888505,0.015895250423383495,0.011181870759630508
2024-11-07,9540.653391093958,-0.012821062103428107,-5.569497601425276,-0.0777178314399596,9566.835107178327,9533.402121189732,-0.01060164441909729,-0.011628025706147627
2024-11-08,9534.830085984797,-0.0006103675367346321,-6.05298786945738,-0.07828076253535783,9552.176155467627,9513.251280346674,-0.0015322676252358621,-0.002113709312467793
2024-11-11,9500.31040668725,-0.0036203769743404115,-6.478821837012988,-0.08161773363948133,9539.71335615169,9510.53362141133,-0.0013047078606066537,-0.00028567088740283353
2024-11-12,9412.921845250945,-0.00919849538545512,-6.5691972631797615,-0.09006546867868244,9431.489892932685,9408.952270153144,-0.011344519397872383,-0.010680930776533315
2024-11-13,9315.381677302772,-0.010362368832094898,-6.765605409900593,-0.09949454590529333,9296.978296700565,9281.154589550395,-0.014261966853499387,-0.013582562322921432
2024-11-14,9241.902422629018,-0.00788794890206038,-6.616796891530726,-0.10659768691321907,9285.9332656565,9270.773317082774,-0.0011880237526190266,-0.0011185324376894457
2024-11-18,9240.015886235591,-0.00020412857733770762,-6.2773912998658625,-0.1067800558563798,9251.072341113073,9239.691054808682,-0.0037541648799435264,-0.0033527151631265184
2024-11-19,9294.771710086621,0.005925944773817517,-4.921988774776702,-0.10148688379651227,9267.260722218038,9265.179494755497,0.0017498923917198498,0.002758581406631766
2024-11-21,9192.17804220655,-0.01103778243081959,-5.956885982002994,-0.11140447608440399,9057.708456943408,9198.759202491747,-0.022612104218912597,-0.007168807933116472
2024-11-22,9394.405632029408,0.02199996441477913,-3.574036564199071,-0.09185540617912892,9264.618391179065,9418.328655143541,0.022843518889929124,0.023869464111237804
2024-11-25,9562.371266073687,0.017879325273290166,-2.1290770746981553,-0.07561839359102572,9375.954384966897,9542.286065149943,0.012017331862673977,0.013161295867362366
2024-11-26,9505.663118183802,-0.005930343668110832,-2.5973628355734255,-0.08110029419751136,9325.854090633213,9531.49160388043,-0.005343487422892383,-0.0011312238174179257
2024-11-27,9510.649642665456,0.0005245845996912687,-2.7162951330066627,-0.08061825356318651,9477.051840417096,9563.165564829857,0.016212750951759294,0.003323085437806128
